distrito;subprefeitura;populacao;area;extrema_pobreza;emprego_por_habitante_distrito;emprego_por_habitante_subprefeitura;domicilios_distrito;domicilios_em_favelas_distrito;domicilios_subprefeitura;domicilios_em_favelas_subprefeitura;idh;densidade_populacional_distrito;densidade_populacional_subprefeitura;quadro_analitico;perimetro_de_acao
Aricanduva;Aricanduva/Formosa/Carrão;86184;6,6;3226;0,242;0,3657;28194;1,1;88741;1,51;0,822;0,013;0,012;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-AF.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-AF.pdf
Carrão;Aricanduva/Formosa/Carrão;84831;7,5;1318;0,4342;0,3657;28763;2,6;88741;1,51;0,822;0,011;0,012;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-AF.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-AF.pdf
Vila Formosa;Aricanduva/Formosa/Carrão;94205;7,4;2838;0,4168;0,3657;31784;0,9;88741;1,51;0,822;0,013;0,012;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-AF.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-AF.pdf
Butantã;Butantã;53904;12,5;557;1,1145;0,4612;19441;1,3;150337;16,6;0,859;0,004;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-BT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-BT.pdf
Morumbi;Butantã;52416;11,4;1637;1,1258;0,4612;17463;14,7;150337;16,6;0,859;0,005;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-BT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-BT.pdf
Raposo Tavares;Butantã;106735;12,6;4423;0,1727;0,4612;33547;12;150337;16,6;0,859;0,008;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-BT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-BT.pdf
Rio Pequeno;Butantã;123238;9,7;4848;0,221;0,4612;40174;21,2;150337;16,6;0,859;0,013;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-BT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-BT.pdf
Vila Sônia;Butantã;120505;9,9;4505;0,3558;0,4612;39712;24,2;150337;16,6;0,859;0,012;0,008;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-BT.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-BT.pdf
Campo Limpo;Campo Limpo;227235;12,8;13181;0,1092;0,1195;73217;23,2;221667;26,83;0,783;0,018;0,019;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-CL.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-CL.pdf
Capão Redondo;Campo Limpo;293651;13,6;18969;0,0815;0,1195;94204;23,8;221667;26,83;0,783;0,022;0,019;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/QA-CL.pdf;https://gestaourbana.prefeitura.sp.gov.br/wp-content/uploads/2018/02/PA-CL.pdf
